Team,Location,Name,Abbr,URL
Buffalo Bills,Buffalo,Bills,BUF,buf
Miami Dolphins,Miami,Dolphins,MIA,mia
New England Patriots,New England,Patriots,NWE,nwe
New York Jets,New York,Jets,NYJ,nyj
Baltimore Ravens,Baltimore,Ravens,BAL,rav
Cleveland Browns,Cleveland,Browns,CLE,cle
Pittsburgh Steelers,Pittsburgh,Steelers,PIT,pit
Cincinnati Bengals,Cincinnati,Bengals,CIN,cin
Kansas City Chiefs,Kansas City,Chiefs,KAN,kan
Los Angeles Chargers,Los Angeles,Chargers,LAC,sdg
Denver Broncos,Denver,Broncos,DEN,den
Las Vegas Raiders,Las Vegas,Raiders,LVR,rai
Houston Texans,Houston,Texans,HOU,htx
Indianapolis Colts,Indianapolis,Colts,IND,clt
Tennessee Titans,Tennessee,Titans,TEN,oti
Jacksonville Jaguars,Jacksonville,Jaguars,JAX,jax
New York Giants,New York,Giants,NYG,nyg
Dallas Cowboys,Dallas,Cowboys,DAL,dal
Washington Commanders,Washington,Commanders,WAS,was
Philadelphia Eagles,Philadelphia,Eagles,PHI,phi
Chicago Bears,Chicago,Bears,CHI,chi
Green Bay Packers,Green Bay,Packers,GNB,gnb
Detroit Lions,Detroit,Lions,DET,det
Minnesota Vikings,Minnesota,Vikings,MIN,min
Los Angeles Rams,Los Angeles,Rams,LAR,ram
San Francisco 49ers,San Francisco,49ers,SFO,sfo
Seattle Seahawks,Seattle,Seahawks,SEA,sea
Arizona Cardinals,Arizona,Cardinals,ARI,crd
Tampa Bay Buccaneers,Tampa Bay,Buccaneers,TAM,tam
Atlanta Falcons,Atlanta,Falcons,ATL,atl
New Orleans Saints,New Orleans,Saints,NOR,nor
Carolina Panthers,Carolina,Panthers,CAR,car
